Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
1,10976,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
2,7335,False,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0
3,9747,False,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0
4,5030,False,g,Coop_Success,2,b,Coop_Success,2,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
5,14553,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0
6,6781,False,g,Coop_Success,2,b,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0
7,13761,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1
8,12644,False,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0
9,11332,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1
10,7023,False,r,Indep_Success,1,b,Coop_Success,2,r,Fail,0,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0
1,5854,False,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0
2,6765,False,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0
3,9867,False,g,Coop_Success,2,r,Fail,0,r,Fail,0,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1
4,11981,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0
5,7044,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0
6,9831,False,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,r,Indep_Success,1,g,Fail,0,b,Coop_Success,2,r,Indep_Success,1,g,Fail,0,g,Coop_Success,2,b,Fail,0
7,7027,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0
8,12458,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1
9,8990,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0
10,9744,False,r,Indep_Success,1,b,Fail,0,r,Fail,0,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0
