Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
6,14026,True,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
7,12592,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1
8,14690,False,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0
9,7106,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,r,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0
10,14716,False,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0
11,11081,False,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Fail,0,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Fail,0,g,Fail,0
12,9393,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0
13,12526,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0
14,4988,False,r,Indep_Success,1,r,Fail,0,r,Indep_Success,1,b,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0
15,0,False,b,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
16,8444,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Fail,0,r,Fail,0,r,Fail,0,r,Indep_Success,1,r,Fail,0,r,Fail,0,r,Indep_Success,1
17,2715,False,r,Indep_Success,1,r,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
18,11344,False,r,Indep_Success,1,r,Fail,0,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Fail,0,g,Fail,0
19,2706,False,r,Indep_Success,1,r,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0
20,10482,False,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0,r,Fail,0
