Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
1,13454,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Fail,0,g,Coop_Success,2,b,Fail,0,r,Fail,0
2,7322,False,r,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0
3,11465,False,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2
4,6425,False,g,Coop_Success,2,b,Coop_Success,2,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0
5,14553,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0
6,5016,False,g,Coop_Success,2,b,Coop_Success,2,g,Fail,0,r,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0
7,12692,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Fail,0
8,12643,False,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0
9,9556,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1
10,7524,False,r,Indep_Success,1,b,Coop_Success,2,r,Fail,0,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,g,Coop_Success,2,b,Coop_Success,2
11,10466,False,g,Coop_Success,2,b,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Fail,0,g,Fail,0
12,11398,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1
13,9804,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1
14,10306,False,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0
15,5004,False,b,Coop_Success,2,r,Fail,0,r,Fail,0,g,Coop_Success,2,g,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
16,16102,True,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1
17,7849,False,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
18,3842,False,r,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0
19,7227,False,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0
20,7959,False,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1
21,10903,False,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1
22,7844,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1,g,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0
23,13871,True,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1
